row_id,cohort,observation_id,observer_id,taxon_id,class_index,scientific_name,common_name,photo_id,license_code,attribution,url,sha256,width,height,legacy_split
0,robird_scaleup_v5_2_4_candidate,199056020,537891,2548,0,Megaceryle alcyon,belted kingfisher,350966127,cc-by,"(c) Mordecai-Mark Mac Low, some rights reserved (CC BY)",https://inaturalist-open-data.s3.amazonaws.com/photos/350966127/large.jpeg,c75e9e5effcc06942a2faf05a645493e62f9c963e3c223eddf9ced9e43564a0f,210,155,
1,robird_scaleup_v5_2_4_candidate,199056020,537891,2548,0,Megaceryle alcyon,belted kingfisher,350966132,cc-by,"(c) Mordecai-Mark Mac Low, some rights reserved (CC BY)",https://inaturalist-open-data.s3.amazonaws.com/photos/350966132/large.jpeg,0221f41bf01c839733d474c3b4c95159e798b53e5a63a83cef5639885e4fbb39,249,202,
2,robird_scaleup_v5_2_4_candidate,200331384,1049943,2548,0,Megaceryle alcyon,belted kingfisher,353424665,cc-by,"(c) Summer J. Smentek, some rights reserved (CC BY)",https://inaturalist-open-data.s3.amazonaws.com/photos/353424665/large.jpg,621346910d36d159e703a842944c9a65d9a7cfb37e72f6dd72d0cdf338e11387,639,639,
3,robird_scaleup_v5_2_4_candidate,200331384,1049943,2548,0,Megaceryle alcyon,belted kingfisher,353424678,cc-by,"(c) Summer J. Smentek, some rights reserved (CC BY)",https://inaturalist-open-data.s3.amazonaws.com/photos/353424678/large.jpg,c5b802a7dbc4cf3252868d8272cd4484024d6878275660adf0a2cd06176d843d,882,882,
4,robird_scaleup_v5_2_4_candidate,208189519,1320996,2548,0,Megaceryle alcyon,belted kingfisher,368326088,cc-by,"(c) Adrien Nouailhane, some rights reserved (CC BY)",https://inaturalist-open-data.s3.amazonaws.com/photos/368326088/large.jpeg,368898129e15b1cbfc497a9847ef43ccb8865f679541b32dd888248edd21bf08,1024,683,
5,robird_scaleup_v5_2_4_candidate,208189519,1320996,2548,0,Megaceryle alcyon,belted kingfisher,368326448,cc-by,"(c) Adrien Nouailhane, some rights reserved (CC BY)",https://inaturalist-open-data.s3.amazonaws.com/photos/368326448/large.jpeg,f24031f1cc33a2261fadef3dfbcb33b673fa0e9780fdfec4e79b2870db8f6107,1024,683,
6,robird_scaleup_v5_2_4_candidate,208189519,1320996,2548,0,Megaceryle alcyon,belted kingfisher,368326610,cc-by,"(c) Adrien Nouailhane, some rights reserved (CC BY)",https://inaturalist-open-data.s3.amazonaws.com/photos/368326610/large.jpeg,26c4fc9ab4b05fdc5cafd1cd1465d44a2dd62e66093b6cf5fe5d6f1564ff86af,1024,683,
7,robird_scaleup_v5_2_4_candidate,208189519,1320996,2548,0,Megaceryle alcyon,belted kingfisher,368326848,cc-by,"(c) Adrien Nouailhane, some rights reserved (CC BY)",https://inaturalist-open-data.s3.amazonaws.com/photos/368326848/large.jpeg,6e0025acb0119f91bf7bbc89e1b5eb8b3d657bafee08872d4e875bf3c0dc89d6,1024,683,
8,robird_scaleup_v5_2_4_candidate,208189519,1320996,2548,0,Megaceryle alcyon,belted kingfisher,368326941,cc-by,"(c) Adrien Nouailhane, some rights reserved (CC BY)",https://inaturalist-open-data.s3.amazonaws.com/photos/368326941/large.jpeg,8a666f32c4aa66d22bab69a0053563ea20dab37eec1d8bf59836f2ac7d2a0a38,1024,683,
9,robird_scaleup_v5_2_4_candidate,224180053,2012632,2548,0,Megaceryle alcyon,belted kingfisher,397293098,cc-by,"(c) Nathan Pugh, some rights reserved (CC BY)",https://inaturalist-open-data.s3.amazonaws.com/photos/397293098/large.jpg,f3cdb0ccfdf9ab6902421fc21b90362cbc66d72f8735b8c5add26377b6971d64,899,1024,
10,robird_scaleup_v5_2_4_candidate,224180053,2012632,2548,0,Megaceryle alcyon,belted kingfisher,397293141,cc-by,"(c) Nathan Pugh, some rights reserved (CC BY)",https://inaturalist-open-data.s3.amazonaws.com/photos/397293141/large.jpg,198c9d6a524302be6104d9344a5e5fc96c40f2023feec43252736c2687f358e9,768,1024,
11,robird_scaleup_v5_2_4_candidate,224180053,2012632,2548,0,Megaceryle alcyon,belted kingfisher,397293182,cc-by,"(c) Nathan Pugh, some rights reserved (CC BY)",https://inaturalist-open-data.s3.amazonaws.com/photos/397293182/large.jpg,501aef52fea7ceab314e2b2820b6892ddca7b751e814df0ebb08eb04e5744509,768,1024,
12,robird_scaleup_v5_2_4_candidate,224180053,2012632,2548,0,Megaceryle alcyon,belted kingfisher,397293256,cc-by,"(c) Nathan Pugh, some rights reserved (CC BY)",https://inaturalist-open-data.s3.amazonaws.com/photos/397293256/large.jpg,531f3a48b02a4ab08a259da13823827d9e95ad8ad3fc113bb43495a515b1960d,768,1024,
13,robird_scaleup_v5_2_4_candidate,247210818,8609336,2548,0,Megaceryle alcyon,belted kingfisher,441471531,cc-by,"(c) Leslie Alfonso, some rights reserved (CC BY)",https://inaturalist-open-data.s3.amazonaws.com/photos/441471531/large.jpeg,24e8d003374d57b0671c05948dfbb7d2c9a840ccb21f45afa7a8013196e348a1,768,1024,
14,robird_scaleup_v5_2_4_candidate,247210818,8609336,2548,0,Megaceryle alcyon,belted kingfisher,441471556,cc-by,"(c) Leslie Alfonso, some rights reserved (CC BY)",https://inaturalist-open-data.s3.amazonaws.com/photos/441471556/large.jpeg,f1c1325433aa18bebd069e08d9b2204090a6e1710021dc36ef0b4c907fd8432f,768,1024,
15,robird_scaleup_v5_2_4_candidate,249404607,4336881,2548,0,Megaceryle alcyon,belted kingfisher,445819838,cc-by,"(c) J Yager, some rights reserved (CC BY)",https://inaturalist-open-data.s3.amazonaws.com/photos/445819838/large.jpeg,c2789cd5f3a647127ff6f5b55cd457f80d3438caa9b9e1fd0a4d55c87455453b,1024,683,
