,observation_id,taxon_id,observer_id,n,signature,stratum_groups,included,reason
0,59398,9771,3313,2,0;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
1,70705,9981,354,2,0;0,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
2,137988,9981,5692,3,1;1;1,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
3,1691265,7294,33646,2,1;1,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
4,1750865,9921,42780,2,0;1,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
5,1750873,9921,42780,2,0;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
6,6718263,10227,487347,2,2;2,6,True,MATCHABLE
7,7019958,62550,47484,4,0;0;0;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
8,7525613,16028,298158,4,2;2;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
9,9276369,12024,110521,2,2;2,4,True,MATCHABLE
10,10094675,12024,622823,4,0;0;0;0,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
11,10545679,4205,74872,3,0;0;1,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
12,11125249,9771,609957,2,0;1,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
13,12289663,16028,137344,3,1;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
14,13425387,4205,110521,2,0;1,5,True,MATCHABLE
15,13807886,10227,244431,2,0;1,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
16,13866434,16028,653916,2,1;2,6,True,MATCHABLE
17,15153883,6987,1102050,2,1;1,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
18,15312163,6933,881785,2,1;1,8,True,MATCHABLE
19,17347870,6933,881785,2,1;1,8,True,MATCHABLE
20,19441763,145242,1122919,3,2;2;2,3,True,MATCHABLE
21,19898840,4205,28726,2,2;2,3,True,MATCHABLE
22,19988027,7470,28726,4,1;1;1;1,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
23,20302976,9921,301464,3,0;0;1,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
24,20388669,6933,1415047,5,1;1;1;1;1,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
25,21032811,4205,625987,3,1;1;1,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
26,21437646,9319,1468993,3,2;2;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
27,21498665,12024,766336,3,0;0;1,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
28,21574073,9921,487918,4,0;0;0;0,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
29,21827607,4209,1255620,5,0;1;1;1;1,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
30,22037163,12024,1311926,2,2;2,4,True,MATCHABLE
31,22340115,145242,741040,2,1;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
32,23617803,62550,728215,3,0;1;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
33,24366491,12024,749648,4,2;2;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
34,25611751,62148,1294023,3,1;1;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
35,25792603,9981,584563,2,2;2,4,True,MATCHABLE
36,26252094,4205,1415047,4,0;0;0;0,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
37,26270330,9319,1459469,2,2;2,4,True,MATCHABLE
38,27517553,10227,327316,3,0;0;0,4,True,MATCHABLE
39,33885366,6987,2203006,3,0;1;1,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
40,34725124,9981,2300830,5,1;2;2;2;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
41,34725646,9981,2300830,5,1;2;2;2;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
42,35432051,10227,2305783,2,1;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
43,35901567,7470,1698922,2,0;1,3,True,MATCHABLE
44,36157998,9771,1168057,3,1;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
45,36160494,6987,2389020,4,1;1;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
46,36439475,7458,2119235,2,2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
47,37117539,12024,2478153,3,0;0;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
48,37923399,6933,1921224,2,0;1,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
49,38007414,7458,913193,2,0;0,9,True,MATCHABLE
50,38086811,7458,174929,2,0;0,9,True,MATCHABLE
51,40056646,9319,210566,2,2;2,4,True,MATCHABLE
52,41168946,62148,2050487,3,1;1;1,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
53,41752025,4205,83785,2,0;1,5,True,MATCHABLE
54,42012033,9981,432333,2,2;2,4,True,MATCHABLE
55,42239740,11858,19415,5,0;1;1;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
56,43631001,10227,2094880,2,0;0,5,True,MATCHABLE
57,44041834,145242,1279849,2,1;1,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
