,model,seed,budget,accuracy
0,mean_feature,20260819,1,0.4833333333333332
1,mean_feature,20260819,2,0.5226950354609929
2,mean_feature,20260819,3,0.5373758865248226
3,mean_feature,20260819,4,0.5481560283687943
4,mean_feature,20260819,5,0.5418439716312057
5,mean_feature,20260820,1,0.4821276595744679
6,mean_feature,20260820,2,0.5197872340425532
7,mean_feature,20260820,3,0.5378014184397163
8,mean_feature,20260820,4,0.5502836879432624
9,mean_feature,20260820,5,0.5524822695035461
10,mean_feature,20260821,1,0.4873758865248226
11,mean_feature,20260821,2,0.5257801418439716
12,mean_feature,20260821,3,0.5382624113475177
13,mean_feature,20260821,4,0.5450354609929078
14,mean_feature,20260821,5,0.5460992907801417
15,probability_mlp,20260819,1,0.5063829787234042
16,probability_mlp,20260819,2,0.5604255319148936
17,probability_mlp,20260819,3,0.5895744680851063
18,probability_mlp,20260819,4,0.6068085106382978
19,probability_mlp,20260819,5,0.6102836879432624
20,probability_mlp,20260820,1,0.4825531914893616
21,probability_mlp,20260820,2,0.5278014184397164
22,probability_mlp,20260820,3,0.5568439716312057
23,probability_mlp,20260820,4,0.5621985815602837
24,probability_mlp,20260820,5,0.5815602836879432
25,probability_mlp,20260821,1,0.5203546099290779
26,probability_mlp,20260821,2,0.5938652482269503
27,probability_mlp,20260821,3,0.618758865248227
28,probability_mlp,20260821,4,0.6368085106382979
29,probability_mlp,20260821,5,0.652127659574468
30,deepsets,20260819,1,0.4981560283687942
31,deepsets,20260819,2,0.5684397163120568
32,deepsets,20260819,3,0.5720567375886526
33,deepsets,20260819,4,0.59
34,deepsets,20260819,5,0.5953900709219858
35,deepsets,20260820,1,0.4548226950354609
36,deepsets,20260820,2,0.5328014184397163
37,deepsets,20260820,3,0.5553900709219859
38,deepsets,20260820,4,0.5724113475177304
39,deepsets,20260820,5,0.5833333333333333
40,deepsets,20260821,1,0.5171631205673759
41,deepsets,20260821,2,0.5965957446808511
42,deepsets,20260821,3,0.6230141843971632
43,deepsets,20260821,4,0.637304964539007
44,deepsets,20260821,5,0.6542553191489361
45,set_transformer,20260819,1,0.4660992907801418
46,set_transformer,20260819,2,0.5508156028368796
47,set_transformer,20260819,3,0.5872340425531914
48,set_transformer,20260819,4,0.6074468085106383
49,set_transformer,20260819,5,0.6159574468085106
50,set_transformer,20260820,1,0.4432624113475177
51,set_transformer,20260820,2,0.5292907801418439
52,set_transformer,20260820,3,0.5658156028368795
53,set_transformer,20260820,4,0.5927659574468084
54,set_transformer,20260820,5,0.6028368794326241
55,set_transformer,20260821,1,0.4729787234042552
56,set_transformer,20260821,2,0.5581914893617022
57,set_transformer,20260821,3,0.6055673758865248
58,set_transformer,20260821,4,0.6278723404255319
59,set_transformer,20260821,5,0.6549645390070922
