model,seed,budget,accuracy
mean_feature,20260819,1,0.4833333333333332
mean_feature,20260819,2,0.5226950354609929
mean_feature,20260819,3,0.5373758865248226
mean_feature,20260819,4,0.5481560283687943
mean_feature,20260819,5,0.5418439716312057
mean_feature,20260820,1,0.48212765957446796
mean_feature,20260820,2,0.5197872340425532
mean_feature,20260820,3,0.5378014184397163
mean_feature,20260820,4,0.5502836879432624
mean_feature,20260820,5,0.5524822695035461
mean_feature,20260821,1,0.48737588652482267
mean_feature,20260821,2,0.5257801418439716
mean_feature,20260821,3,0.5382624113475177
mean_feature,20260821,4,0.5450354609929078
mean_feature,20260821,5,0.5460992907801417
probability_mlp,20260819,1,0.5063829787234042
probability_mlp,20260819,2,0.5604255319148936
probability_mlp,20260819,3,0.5895744680851063
probability_mlp,20260819,4,0.6068085106382978
probability_mlp,20260819,5,0.6102836879432624
probability_mlp,20260820,1,0.4825531914893616
probability_mlp,20260820,2,0.5278014184397164
probability_mlp,20260820,3,0.5568439716312057
probability_mlp,20260820,4,0.5621985815602837
probability_mlp,20260820,5,0.5815602836879432
probability_mlp,20260821,1,0.5203546099290779
probability_mlp,20260821,2,0.5938652482269503
probability_mlp,20260821,3,0.618758865248227
probability_mlp,20260821,4,0.6368085106382979
probability_mlp,20260821,5,0.652127659574468
deepsets,20260819,1,0.49815602836879425
deepsets,20260819,2,0.5684397163120568
deepsets,20260819,3,0.5720567375886526
deepsets,20260819,4,0.59
deepsets,20260819,5,0.5953900709219858
deepsets,20260820,1,0.45482269503546097
deepsets,20260820,2,0.5328014184397163
deepsets,20260820,3,0.5553900709219859
deepsets,20260820,4,0.5724113475177304
deepsets,20260820,5,0.5833333333333333
deepsets,20260821,1,0.5171631205673759
deepsets,20260821,2,0.5965957446808511
deepsets,20260821,3,0.6230141843971632
deepsets,20260821,4,0.637304964539007
deepsets,20260821,5,0.6542553191489361
set_transformer,20260819,1,0.46609929078014184
set_transformer,20260819,2,0.5508156028368796
set_transformer,20260819,3,0.5872340425531914
set_transformer,20260819,4,0.6074468085106383
set_transformer,20260819,5,0.6159574468085106
set_transformer,20260820,1,0.4432624113475177
set_transformer,20260820,2,0.5292907801418439
set_transformer,20260820,3,0.5658156028368795
set_transformer,20260820,4,0.5927659574468084
set_transformer,20260820,5,0.6028368794326241
set_transformer,20260821,1,0.4729787234042552
set_transformer,20260821,2,0.5581914893617022
set_transformer,20260821,3,0.6055673758865248
set_transformer,20260821,4,0.6278723404255319
set_transformer,20260821,5,0.6549645390070922
