,backbone,model,method,condition,repeat,budget,accuracy_control,all_single_wrong_set_correct_control,any_single_correct_set_wrong_control,brier_control,group_equal_brier_control,group_equal_ece_control,group_equal_nll_control,group_equal_top5_control,groups_control,joint_wrong_pair_control,micro_accuracy_control,nll_control,same_wrong_pair_control,singleton_accuracy_control,taxa_control,top5_control,groups_real,taxa_real,accuracy_real,singleton_accuracy_real,joint_wrong_pair_real,same_wrong_pair_real,any_single_correct_set_wrong_real,all_single_wrong_set_correct_real,nll_real,brier_real,top5_real,micro_accuracy_real,group_equal_nll_real,group_equal_brier_real,group_equal_top5_real,group_equal_ece_real,accuracy_delta,singleton_accuracy_delta,joint_wrong_pair_delta,same_wrong_pair_delta,any_single_correct_set_wrong_delta,all_single_wrong_set_correct_delta,nll_delta,brier_delta,top5_delta
1,dinov2,deepsets,native,difficulty_matched,0,2,0.7697556752588198,0.0325937078295568,0.0519525867796308,0.3223232266431131,0.3403719277168595,0.0862625163682486,0.9671544012823312,0.9166432255039848,474.0,0.2108854457911061,0.7565400843881857,0.9017490613288576,0.017806206721301,0.5977113833638991,53.0,0.9266795282518552,474.0,53.0,0.6688022610978585,0.5977113833638991,0.2740264976114032,0.1191061209929134,0.0737729310056354,0.0166016897148972,1.2984682424012464,0.4349321880961846,0.8815961437816782,0.6586966713548992,1.3544586241902976,0.4460507677460145,0.8736052508204407,0.0683303710158811,0.1009534141609613,0.0,-0.0631410518202971,-0.1012999142716123,-0.0218203442260046,0.0159920181146596,-0.3967191810723889,-0.1126089614530714,0.045083384470177
6,dinov2,deepsets,native,difficulty_matched,1,2,0.756425862164856,0.0246556931305358,0.0634145117635683,0.329911197679277,0.346896966964447,0.0806563491542267,0.9582535817369046,0.9232067510548522,474.0,0.2048153192021116,0.7450304735114862,0.9028101292965448,0.0162486273335329,0.5977113833638991,53.0,0.9313919920051996,474.0,53.0,0.6688022610978585,0.5977113833638991,0.2740264976114032,0.1191061209929134,0.0737729310056354,0.0166016897148972,1.2984682424012464,0.4349321880961846,0.8815961437816782,0.6586966713548992,1.3544586241902976,0.4460507677460145,0.8736052508204407,0.0683303710158811,0.0876236010669974,0.0,-0.0692111784092915,-0.1028574936593804,-0.010358419242067,0.0080540034156386,-0.3956581131047018,-0.1050209904169075,0.0497958482235212
11,dinov2,deepsets,native,difficulty_matched,2,2,0.76259824789699,0.0356425341488234,0.0606013628812371,0.3307504460013395,0.3442839310377398,0.0821984558588481,0.9745439196151108,0.909282700421941,474.0,0.2124429233705963,0.7531879981247069,0.926286844572888,0.0239083331064463,0.5977113833638991,53.0,0.9192382128702882,474.0,53.0,0.6688022610978585,0.5977113833638991,0.2740264976114032,0.1191061209929134,0.0737729310056354,0.0166016897148972,1.2984682424012464,0.4349321880961846,0.8815961437816782,0.6586966713548992,1.3544586241902976,0.4460507677460145,0.8736052508204407,0.0683303710158811,0.0937959867991315,0.0,-0.0615835742408069,-0.0951977878864671,-0.0131715681243983,0.0190408444339262,-0.3721813978283583,-0.104181742094845,0.03764206908861
16,dinov2,deepsets,native,difficulty_matched,3,2,0.7596596915779307,0.0331262989281857,0.0554068805641132,0.3246327332691138,0.3396349818803393,0.0895405108440078,0.9654365053012952,0.9149320206282232,474.0,0.2180597267861418,0.7486169714017815,0.911019291073799,0.0184760906459019,0.5977113833638991,53.0,0.9250250681068292,474.0,53.0,0.6688022610978585,0.5977113833638991,0.2740264976114032,0.1191061209929134,0.0737729310056354,0.0166016897148972,1.2984682424012464,0.4349321880961846,0.8815961437816782,0.6586966713548992,1.3544586241902976,0.4460507677460145,0.8736052508204407,0.0683303710158811,0.0908574304800721,0.0,-0.0559667708252613,-0.1006300303470114,-0.0183660504415221,0.0165246092132884,-0.3874489513274473,-0.1102994548270708,0.043428924325151
21,dinov2,deepsets,native,difficulty_matched,4,2,0.7641801652807941,0.0445727374186493,0.0602692817315458,0.328209547008527,0.3475030640549454,0.0867871746473255,0.9891893258707136,0.9105719643694328,474.0,0.2201232904063092,0.7475621190811065,0.9251191918967407,0.0204198142877388,0.5977113833638991,53.0,0.9213822515709308,474.0,53.0,0.6688022610978585,0.5977113833638991,0.2740264976114032,0.1191061209929134,0.0737729310056354,0.0166016897148972,1.2984682424012464,0.4349321880961846,0.8815961437816782,0.6586966713548992,1.3544586241902976,0.4460507677460145,0.8736052508204407,0.0683303710158811,0.0953779041829356,0.0,-0.0539032072050939,-0.0986863067051746,-0.0135036492740895,0.0279710477037521,-0.3733490505045055,-0.1067226410876576,0.0397861077892524
26,dinov2,deepsets,native,difficulty_matched,5,2,0.7719738536562435,0.0388485931724925,0.0542266521040106,0.3292536707732587,0.3439534833085558,0.0890450744794055,0.9776815876538943,0.9187529301453352,474.0,0.2126480874122383,0.7570792311298641,0.9282398945995314,0.023910828863659,0.5977113833638991,53.0,0.925304377662868,474.0,53.0,0.6688022610978585,0.5977113833638991,0.2740264976114032,0.1191061209929134,0.0737729310056354,0.0166016897148972,1.2984682424012464,0.4349321880961846,0.8815961437816782,0.6586966713548992,1.3544586241902976,0.4460507677460145,0.8736052508204407,0.0683303710158811,0.1031715925583849,0.0,-0.0613784101991649,-0.0951952921292543,-0.0195462789016248,0.0222469034575952,-0.370228347801715,-0.1056785173229259,0.0437082338811899
31,dinov2,deepsets,native,difficulty_matched,6,2,0.7514491419365633,0.0297621200136923,0.0750553749767586,0.3391269654496563,0.3560053416532855,0.08051264391041,0.9852155367976636,0.9155649320206282,474.0,0.2032576031003704,0.7354899203000468,0.937443969492016,0.0221566344207853,0.5977113833638991,53.0,0.9212343037814736,474.0,53.0,0.6688022610978585,0.5977113833638991,0.2740264976114032,0.1191061209929134,0.0737729310056354,0.0166016897148972,1.2984682424012464,0.4349321880961846,0.8815961437816782,0.6586966713548992,1.3544586241902976,0.4460507677460145,0.8736052508204407,0.0683303710158811,0.0826468808387047,0.0,-0.0707688945110328,-0.096949486572128,0.0012824439711232,0.013160430298795,-0.3610242729092301,-0.0958052226465283,0.0396381599997952
36,dinov2,deepsets,native,difficulty_matched,7,2,0.755817569339582,0.0450826165448806,0.0668471174760483,0.3353376040188351,0.3492651691080883,0.0773781568926234,0.98322189421564,0.9171120487576184,474.0,0.2224179297292504,0.744678856071261,0.9272879567559764,0.0203431439280495,0.5977113833638991,53.0,0.926492384275403,474.0,53.0,0.6688022610978585,0.5977113833638991,0.2740264976114032,0.1191061209929134,0.0737729310056354,0.0166016897148972,1.2984682424012464,0.4349321880961846,0.8815961437816782,0.6586966713548992,1.3544586241902976,0.4460507677460145,0.8736052508204407,0.0683303710158811,0.0870153082417233,0.0,-0.0516085678821527,-0.0987629770648638,-0.0069258135295871,0.0284809268299834,-0.3711802856452699,-0.0995945840773495,0.0448962404937247
41,dinov2,deepsets,native,difficulty_matched,8,2,0.761220171047215,0.0318470226489094,0.0568034516147723,0.3282618247126487,0.3471849913081783,0.0836684217733281,0.9917329311294288,0.9151664322550398,474.0,0.2138233999869219,0.7423347398030943,0.922604338167749,0.023980936952635,0.5977113833638991,53.0,0.9264063417365304,474.0,53.0,0.6688022610978585,0.5977113833638991,0.2740264976114032,0.1191061209929134,0.0737729310056354,0.0166016897148972,1.2984682424012464,0.4349321880961846,0.8815961437816782,0.6586966713548992,1.3544586241902976,0.4460507677460145,0.8736052508204407,0.0683303710158811,0.0924179099493565,0.0,-0.0602030976244812,-0.0951251840402783,-0.016969479390863,0.0152453329340121,-0.3758639042334975,-0.1066703633835359,0.0448101979548521
46,dinov2,deepsets,native,difficulty_matched,9,2,0.7641030935056093,0.0313891966407689,0.064526869008001,0.3210979248259013,0.3406539848417158,0.0842867766223599,0.9453467019419828,0.9195968120018752,474.0,0.2027592341271586,0.7490623534927332,0.8848757319073126,0.0185761478214308,0.5977113833638991,53.0,0.9294595254500914,474.0,53.0,0.6688022610978585,0.5977113833638991,0.2740264976114032,0.1191061209929134,0.0737729310056354,0.0166016897148972,1.2984682424012464,0.4349321880961846,0.8815961437816782,0.6586966713548992,1.3544586241902976,0.4460507677460145,0.8736052508204407,0.0683303710158811,0.0953008324077507,0.0,-0.0712672634842445,-0.1005299731714825,-0.0092460619976343,0.0147875069258717,-0.4135925104939339,-0.1138342632702833,0.0478633816684131
