,backbone,model,contrast,budget,groups,taxa,observers,delta,p,lower95,upper95,max_cluster_weight,max_cluster_groups,observers_spanning_taxa,method,draws,independence_and_sign_exchangeability,post_hoc,p_holm16
0,dinov2,deepsets,native_minus_pool,2,1121,56,759,0.0014456455205458,0.7442,-0.0064827652706533,0.0095462211683012,0.0320868685816381,30,154,monte_carlo_observer_signflip_absolute_tail_plus_one,9999,ASSUMED_NOT_PROVED,True,1.0
1,dinov2,deepsets,native_minus_pool,3,510,56,407,-0.0138614378346521,0.0578,-0.0273454752532395,-0.0012299659357696,0.0149022108843537,7,53,monte_carlo_observer_signflip_absolute_tail_plus_one,9999,ASSUMED_NOT_PROVED,True,0.5202
2,dinov2,mean_feature,native_minus_pool,2,1121,56,759,-0.0027904107493866,0.4646,-0.0098632437880361,0.0040827422612175,0.0320868685816381,30,154,monte_carlo_observer_signflip_absolute_tail_plus_one,9999,ASSUMED_NOT_PROVED,True,1.0
3,dinov2,mean_feature,native_minus_pool,3,510,56,407,-0.0097232702813059,0.0496,-0.0191395511122549,-0.0012233619422355,0.0149022108843537,7,53,monte_carlo_observer_signflip_absolute_tail_plus_one,9999,ASSUMED_NOT_PROVED,True,0.496
4,dinov2,probability_mlp,native_minus_pool,2,1121,56,759,0.0,1.0,0.0,0.0,0.0320868685816381,30,154,monte_carlo_observer_signflip_absolute_tail_plus_one,9999,ASSUMED_NOT_PROVED,True,1.0
5,dinov2,probability_mlp,native_minus_pool,3,510,56,407,0.0,1.0,0.0,0.0,0.0149022108843537,7,53,monte_carlo_observer_signflip_absolute_tail_plus_one,9999,ASSUMED_NOT_PROVED,True,1.0
6,dinov2,set_transformer,native_minus_pool,2,1121,56,759,0.0115509775774732,0.0021,0.0040673324081933,0.0189157578333035,0.0320868685816381,30,154,monte_carlo_observer_signflip_absolute_tail_plus_one,9999,ASSUMED_NOT_PROVED,True,0.0252
7,dinov2,set_transformer,native_minus_pool,3,510,56,407,0.0196089129124843,0.0052,0.0060641797359924,0.0324251770039508,0.0149022108843537,7,53,monte_carlo_observer_signflip_absolute_tail_plus_one,9999,ASSUMED_NOT_PROVED,True,0.0572
8,resnet50,deepsets,native_minus_pool,2,1121,56,759,0.0043269418971602,0.3042,-0.0036005574584324,0.0123428206371951,0.0320868685816381,30,154,monte_carlo_observer_signflip_absolute_tail_plus_one,9999,ASSUMED_NOT_PROVED,True,1.0
9,resnet50,deepsets,native_minus_pool,3,510,56,407,-0.004772581915439,0.5571,-0.0191235977258954,0.0091273818094828,0.0149022108843537,7,53,monte_carlo_observer_signflip_absolute_tail_plus_one,9999,ASSUMED_NOT_PROVED,True,1.0
10,resnet50,deepsets,k1_to_k2,2,1121,56,759,0.0618491418204323,0.0001,0.0513513805023315,0.0726866286870736,0.0320868685816381,30,154,monte_carlo_observer_signflip_absolute_tail_plus_one,9999,ASSUMED_NOT_PROVED,True,0.0016
11,resnet50,deepsets,k2_to_k3,3,510,56,407,0.0198686267436267,0.0018,0.0081899025801243,0.0319490041805069,0.0149022108843537,7,53,monte_carlo_observer_signflip_absolute_tail_plus_one,9999,ASSUMED_NOT_PROVED,True,0.0234
12,resnet50,probability_mlp,native_minus_pool,2,1121,56,759,0.0,1.0,0.0,0.0,0.0320868685816381,30,154,monte_carlo_observer_signflip_absolute_tail_plus_one,9999,ASSUMED_NOT_PROVED,True,1.0
13,resnet50,probability_mlp,native_minus_pool,3,510,56,407,0.0,1.0,0.0,0.0,0.0149022108843537,7,53,monte_carlo_observer_signflip_absolute_tail_plus_one,9999,ASSUMED_NOT_PROVED,True,1.0
14,resnet50,probability_mlp,k1_to_k2,2,1121,56,759,0.0519139025700387,0.0001,0.0427268753503476,0.0614300645383081,0.0320868685816381,30,154,monte_carlo_observer_signflip_absolute_tail_plus_one,9999,ASSUMED_NOT_PROVED,True,0.0016
15,resnet50,probability_mlp,k2_to_k3,3,510,56,407,0.0262445350614993,0.0001,0.0168240394480881,0.0360284416976246,0.0149022108843537,7,53,monte_carlo_observer_signflip_absolute_tail_plus_one,9999,ASSUMED_NOT_PROVED,True,0.0016
