backbone,model,method,condition,budget,accuracy_delta_mean,accuracy_delta_std,accuracy_delta_min,accuracy_delta_max,singleton_accuracy_delta_mean,singleton_accuracy_delta_std,singleton_accuracy_delta_min,singleton_accuracy_delta_max,joint_wrong_pair_delta_mean,joint_wrong_pair_delta_std,joint_wrong_pair_delta_min,joint_wrong_pair_delta_max,same_wrong_pair_delta_mean,same_wrong_pair_delta_std,same_wrong_pair_delta_min,same_wrong_pair_delta_max,any_single_correct_set_wrong_delta_mean,any_single_correct_set_wrong_delta_std,any_single_correct_set_wrong_delta_min,any_single_correct_set_wrong_delta_max,all_single_wrong_set_correct_delta_mean,all_single_wrong_set_correct_delta_std,all_single_wrong_set_correct_delta_min,all_single_wrong_set_correct_delta_max,nll_delta_mean,nll_delta_std,nll_delta_min,nll_delta_max,brier_delta_mean,brier_delta_std,brier_delta_min,brier_delta_max,top5_delta_mean,top5_delta_std,top5_delta_min,top5_delta_max
dinov2,deepsets,native,difficulty_matched,1,-2.7755575615628914e-17,1.6440984067475414e-17,-3.700743415417188e-17,0.0,-2.7755575615628914e-17,1.6440984067475414e-17,-3.700743415417188e-17,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.742676317012676e-10,2.0220886403235593e-10,2.739649248203098e-10,8.40599293875736e-10,-2.5738999820390517e-11,7.898212693642012e-12,-4.0419371553449914e-11,-3.502716635258215e-12,5.551115123125783e-17,1.8984413154198558e-17,3.700743415417188e-17,7.401486830834377e-17
dinov2,deepsets,native,difficulty_matched,2,0.09379230177579238,0.0058480620559897036,0.08264688083870475,0.10390599966071663,0.0,0.0,0.0,0.0,-0.06065103281298249,0.006206859030473842,-0.07126726348424459,-0.04967746264916076,-0.09882687106743707,0.0032025142583069735,-0.10434746071538521,-0.09350918124503027,-0.014854245742610522,0.005891444255252677,-0.026450869768479834,0.0012824439711232084,0.018287023220199324,0.005822023471540502,0.008054003415638637,0.02944306741476553,-0.38281497586076385,0.014400808031588363,-0.4135925104939339,-0.356850821084163,-0.10667203509970291,0.0054412342723766886,-0.11612229254519824,-0.09580522264652835,0.043712774094063475,0.003892163340681376,0.03764206908861004,0.04979584822352127
dinov2,deepsets,native,difficulty_matched,3,0.10364035087719296,0.011319137255770037,0.08274853801169586,0.12339181286549712,1.4802973661668754e-17,2.2139439970800027e-17,0.0,7.401486830834377e-17,-0.04261208576998049,0.0077455515149935554,-0.058089668615984386,-0.030311890838206613,-0.06443957115009745,0.003977638410938172,-0.07032163742690058,-0.053947368421052626,-0.031242690058479527,0.010317460094942232,-0.04663742690058479,-0.011549707602339176,0.016476608187134503,0.011139534928987747,-0.0029239766081871343,0.03625730994152047,-0.43753124030768964,0.026350366614937205,-0.47819406753670207,-0.3665859249922539,-0.11773877237213048,0.009555713676022579,-0.13242301142956606,-0.09532175607094244,0.058333333333333404,0.006292362762938107,0.04853801169590655,0.07339181286549712
dinov2,deepsets,native,difficulty_matched,4,0.027777777777777783,0.05682754367908039,-0.12222222222222219,0.1444444444444444,5.2735593669694933e-17,1.2412670766236365e-17,0.0,5.551115123125783e-17,-0.06731481481481483,0.020962293089538838,-0.0888888888888889,-0.024074074074074064,-0.014259259259259246,0.02251352283767279,-0.04814814814814814,0.022222222222222237,0.11555555555555556,0.053639472242520615,0.011111111111111112,0.19999999999999998,0.019444444444444445,0.028584769001050274,0.0,0.09999999999999999,-0.37946589532876046,0.10645906173053948,-0.5289358604419453,-0.12971364277416061,-0.11709128077504324,0.05161495103230011,-0.18596366587728053,0.011168290343889256,0.048888888888888905,0.011052476870107568,0.022222222222222216,0.05555555555555558
dinov2,deepsets,native,difficulty_matched,5,0.11666666666666665,0.13715289344136067,-0.1111111111111111,0.3333333333333333,5.2735593669694933e-17,1.2412670766236365e-17,0.0,5.551115123125783e-17,-0.06333333333333338,0.014907119849998606,-0.06666666666666676,0.0,-0.026666666666666665,0.03427519254375722,-0.07777777777777778,0.04444444444444443,0.23888888888888887,0.15410771487591238,0.0,0.4444444444444444,0.03888888888888888,0.09030307787636101,0.0,0.3333333333333333,-0.5227987632063963,0.2066536954650919,-0.7744018359673008,-0.04222037382236107,-0.11962104028629801,0.08705450874826062,-0.22899113272356375,0.03250619376992714,0.11111111111111112,0.0,0.11111111111111112,0.11111111111111112
dinov2,deepsets,native,unrestricted_common,1,-1.850371707708594e-17,1.898441315419856e-17,-3.700743415417188e-17,0.0,-1.850371707708594e-17,1.898441315419856e-17,-3.700743415417188e-17,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5941923141417457e-10,1.7316758406844367e-10,1.8732311997856263e-10,8.405993678906043e-10,-2.8226524821188076e-11,3.1159001748882414e-11,-1.0257013756861018e-10,1.8401983640596125e-11,5.736152293896641e-17,1.8889252589269225e-17,3.700743415417188e-17,7.401486830834377e-17
dinov2,deepsets,native,unrestricted_common,2,0.09898821653538632,0.006360697505102874,0.08665667258434555,0.11136255137827455,0.0,0.0,0.0,0.0,-0.0753397391683555,0.0063778226330680225,-0.0848092682998343,-0.06106587333002426,-0.09439164958032879,0.0037547905743574583,-0.10183423320215772,-0.08255382807269597,-0.0044536084984198206,0.007260674783542241,-0.018504893662126366,0.012113849928315329,0.01919486886861101,0.004332398991104369,0.010994238116879626,0.029285058058642968,-0.44701072058704794,0.018708040028533924,-0.4740494880963905,-0.4144131547592174,-0.11119485519565622,0.005038106904885603,-0.11836431240916344,-0.10173680098757004,0.061454862252818286,0.006648757517336465,0.0508347377058069,0.07370009736361938
dinov2,deepsets,native,unrestricted_common,3,0.10001461988304094,0.013622644518377375,0.07631578947368416,0.12309941520467833,1.4802973661668754e-17,1.8600850117586966e-17,0.0,3.700743415417188e-17,-0.041215886939571136,0.008140419049838813,-0.05272904483430798,-0.018274853801169572,-0.0626803118908382,0.0032443729447560474,-0.06817738791423,-0.05687134502923976,-0.02799707602339181,0.013492671803519153,-0.049561403508771924,0.00043859649122806693,0.016461988304093567,0.008190486496679304,0.0020467836257309943,0.03274853801169591,-0.44322743772462597,0.021583181916462375,-0.4744438419783223,-0.3998271722600608,-0.1161465245022231,0.00970417097776957,-0.13936279556885114,-0.10111604342212331,0.06201754385964918,0.0069582366157097016,0.04590643274853797,0.07602339181286559
dinov2,deepsets,native,unrestricted_common,4,0.022222222222222233,0.05148856304808219,-0.11111111111111109,0.07777777777777779,4.163336342344337e-17,2.466147610121312e-17,0.0,5.551115123125783e-17,-0.05833333333333335,0.02442390891210536,-0.0888888888888889,-0.018518518518518528,-0.012129629629629619,0.017959144305827346,-0.03888888888888888,0.027777777777777787,0.09944444444444445,0.07096064124279065,0.0,0.25555555555555554,0.03,0.0322635347182329,0.0,0.1111111111111111,-0.4120214777934751,0.062364528858855975,-0.4975644218358786,-0.30438405534979657,-0.1271403472751045,0.03640044499604943,-0.18327690411402878,-0.05878360962696657,0.050555555555555576,0.011096481597049516,0.011111111111111072,0.05555555555555558
dinov2,deepsets,native,unrestricted_common,5,0.09444444444444444,0.10370022272074772,-0.1111111111111111,0.3333333333333333,4.163336342344337e-17,2.466147610121312e-17,0.0,5.551115123125783e-17,-0.050000000000000024,0.029617443887954634,-0.06666666666666676,0.0,-0.03166666666666667,0.032499312733274104,-0.07777777777777778,0.022222222222222213,0.18333333333333332,0.14543073081672575,0.0,0.4444444444444444,0.02777777777777778,0.06112440046890898,0.0,0.2222222222222222,-0.6198295146223242,0.1063681408050603,-0.763201780007455,-0.38829448474083783,-0.16015988578736157,0.053239456266025234,-0.22700819197972336,-0.020222751750555695,0.10555555555555556,0.024845199749997667,0.0,0.11111111111111112
