observation_id,taxon_id,observer_id,n,signature,stratum_groups,included,reason
59398,9771,3313,2,0;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
70705,9981,354,2,0;0,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
137988,9981,5692,3,1;1;1,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
1691265,7294,33646,2,1;1,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
1750865,9921,42780,2,0;1,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
1750873,9921,42780,2,0;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
6718263,10227,487347,2,2;2,6,True,MATCHABLE
7019958,62550,47484,4,0;0;0;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
7525613,16028,298158,4,2;2;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
9276369,12024,110521,2,2;2,4,True,MATCHABLE
10094675,12024,622823,4,0;0;0;0,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
10545679,4205,74872,3,0;0;1,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
11125249,9771,609957,2,0;1,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
12289663,16028,137344,3,1;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
13425387,4205,110521,2,0;1,5,True,MATCHABLE
13807886,10227,244431,2,0;1,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
13866434,16028,653916,2,1;2,6,True,MATCHABLE
15153883,6987,1102050,2,1;1,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
15312163,6933,881785,2,1;1,8,True,MATCHABLE
17347870,6933,881785,2,1;1,8,True,MATCHABLE
19441763,145242,1122919,3,2;2;2,3,True,MATCHABLE
19898840,4205,28726,2,2;2,3,True,MATCHABLE
19988027,7470,28726,4,1;1;1;1,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
20302976,9921,301464,3,0;0;1,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
20388669,6933,1415047,5,1;1;1;1;1,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
21032811,4205,625987,3,1;1;1,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
21437646,9319,1468993,3,2;2;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
21498665,12024,766336,3,0;0;1,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
21574073,9921,487918,4,0;0;0;0,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
21827607,4209,1255620,5,0;1;1;1;1,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
22037163,12024,1311926,2,2;2,4,True,MATCHABLE
22340115,145242,741040,2,1;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
23617803,62550,728215,3,0;1;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
24366491,12024,749648,4,2;2;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
25611751,62148,1294023,3,1;1;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
25792603,9981,584563,2,2;2,4,True,MATCHABLE
26252094,4205,1415047,4,0;0;0;0,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
26270330,9319,1459469,2,2;2,4,True,MATCHABLE
27517553,10227,327316,3,0;0;0,4,True,MATCHABLE
33885366,6987,2203006,3,0;1;1,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
34725124,9981,2300830,5,1;2;2;2;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
34725646,9981,2300830,5,1;2;2;2;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
35432051,10227,2305783,2,1;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
35901567,7470,1698922,2,0;1,3,True,MATCHABLE
36157998,9771,1168057,3,1;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
36160494,6987,2389020,4,1;1;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
36439475,7458,2119235,2,2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
37117539,12024,2478153,3,0;0;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
37923399,6933,1921224,2,0;1,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
38007414,7458,913193,2,0;0,9,True,MATCHABLE
38086811,7458,174929,2,0;0,9,True,MATCHABLE
40056646,9319,210566,2,2;2,4,True,MATCHABLE
41168946,62148,2050487,3,1;1;1,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
41752025,4205,83785,2,0;1,5,True,MATCHABLE
42012033,9981,432333,2,2;2,4,True,MATCHABLE
42239740,11858,19415,5,0;1;1;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
43631001,10227,2094880,2,0;0,5,True,MATCHABLE
44041834,145242,1279849,2,1;1,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
44466951,4209,913789,2,1;1,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
44518393,6933,119083,2,1;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
44656877,9319,1363705,3,0;0;1,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
45523784,9721,63502,2,2;2,8,True,MATCHABLE
45562843,11858,591320,5,0;0;0;0;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
46010350,9721,444486,2,2;2,8,True,MATCHABLE
46017278,10247,428097,3,2;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
46021913,10247,209047,2,2;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
46246538,10227,1673632,3,0;0;0,4,True,MATCHABLE
46327148,9981,547997,5,1;1;1;1;1,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
46536948,10227,2384489,2,0;0,5,True,MATCHABLE
46543927,10247,2384489,2,0;0,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
46544052,9921,2384489,2,0;0,4,True,MATCHABLE
46674369,11858,432333,2,0;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
47167531,11858,2001523,2,0;0,6,True,MATCHABLE
47881576,6987,1768249,2,0;1,3,True,MATCHABLE
47997181,4205,2512887,2,0;0,6,True,MATCHABLE
48289287,11858,591320,3,0;0;0,8,True,MATCHABLE
48355678,4205,2512887,2,1;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
48356060,144537,2512887,2,1;2,4,True,MATCHABLE
49030942,9981,90147,3,2;2;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
50210477,9921,1791950,3,2;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
50467464,9424,1538007,2,2;2,4,True,MATCHABLE
50712513,9921,1883274,2,0;1,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
50782959,11858,1684766,2,0;0,6,True,MATCHABLE
50981793,9721,1099095,3,2;2;2,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
51018100,10227,2677922,2,2;2,6,True,MATCHABLE
51403795,9721,466325,2,2;2,8,True,MATCHABLE
51617277,9319,3022627,4,0;0;0;0,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
51773417,11858,2300830,3,1;1;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
52658911,11858,2300830,3,0;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
53187239,16028,1154429,3,2;2;2,3,True,MATCHABLE
53187991,10247,1910832,2,1;1,4,True,MATCHABLE
53188114,10247,1910832,2,1;1,4,True,MATCHABLE
53377786,9921,1923500,4,0;1;1;1,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
54158117,10224,2801364,2,1;1,2,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
54183913,9921,1923500,2,0;0,4,True,MATCHABLE
54275134,9424,1923500,3,0;0;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
54498909,4368,1568125,3,0;0;0,3,True,MATCHABLE
55615856,2548,298482,2,2;2,10,True,MATCHABLE
55756769,2548,591320,3,0;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
56310410,16028,1925038,2,1;2,6,True,MATCHABLE
56651125,4368,41329,2,0;0,3,True,MATCHABLE
56739707,144537,1456163,2,1;2,4,True,MATCHABLE
57930692,9921,2698991,4,0;0;1;1,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
58895394,10227,3326085,2,2;2,6,True,MATCHABLE
58895472,10227,3326085,2,2;2,6,True,MATCHABLE
58932424,2548,3112069,5,0;0;0;0;1,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
60443768,2548,990003,4,2;2;2;2,1,False,LT3_SAME_TAXON_CARDINALITY_SIGNATURE
60824631,9721,2793172,2,1;1,3,True,MATCHABLE
