cohort,model,seed,groups,taxa,delta
development,mean_feature,20260819,750,100,0.05141666666666667
development,mean_feature,20260820,750,100,0.051464285714285705
development,mean_feature,20260821,750,100,0.04705952380952381
development,probability_mlp,20260819,750,100,0.05663095238095237
development,probability_mlp,20260820,750,100,0.062369047619047616
development,probability_mlp,20260821,750,100,0.06751190476190475
development,deepsets,20260819,750,100,0.07232738095238096
development,deepsets,20260820,750,100,0.0757142857142857
development,deepsets,20260821,750,100,0.07555059523809525
development,set_transformer,20260819,750,100,0.07956845238095238
development,set_transformer,20260820,750,100,0.07673511904761905
development,set_transformer,20260821,750,100,0.0839434523809524
previous13,mean_feature,20260819,339,13,0.042232563376794145
previous13,mean_feature,20260820,339,13,0.049678184772567364
previous13,mean_feature,20260821,339,13,0.04564453177838806
previous13,probability_mlp,20260819,339,13,0.06561900970149957
previous13,probability_mlp,20260820,339,13,0.06436110106530148
previous13,probability_mlp,20260821,339,13,0.06493959316100005
previous13,deepsets,20260819,339,13,0.06348747094673207
previous13,deepsets,20260820,339,13,0.041317204856172476
previous13,deepsets,20260821,339,13,0.044109199102367116
previous13,set_transformer,20260819,339,13,0.06710314782683205
previous13,set_transformer,20260820,339,13,0.022777526641899106
previous13,set_transformer,20260821,339,13,0.05508501449442745
