analysis_branch,mode,model,training_policy,before,after,groups,taxa,observers,delta_accuracy,observer_signflip_p,observer_signflip_p_holm64,observer_signflip_p_holm128,taxon_signflip_p_holm128,macro_before,macro_after,lower95,upper95,positive_taxa,negative_taxa,zero_taxa,leave_one_taxon_out_min,leave_one_taxon_out_max
primary,full8,mean_feature,all,1,2,1121,56,759,0.05273554921074375,0.0001,0.0064,0.0128,0.0025599488010239796,0.5273134003766716,0.5800489495874154,0.041267930639409076,0.0645115232332272,47,8,1,0.04982232350615795,0.05497996048197675
primary,full8,mean_feature,all,2,3,510,56,407,0.016141336892824994,0.0106,0.097,0.194,0.33731325373492527,0.5816692379489999,0.5978105748418248,0.004830568955470286,0.027422055254614858,33,13,10,0.013606532917138982,0.019032218342824408
primary,full8,mean_feature,all,2,4,230,56,195,0.029777415595867978,0.0033,0.0527,0.10439999999999999,0.1356772864542709,0.58628267510708,0.6160600907029478,0.013718135423352911,0.04661049597363194,32,9,15,0.02540299823633157,0.033854176687510014
primary,full8,mean_feature,all,2,5,108,47,93,0.024054373522458625,0.1681,0.6155999999999999,1.0,1.0,0.5227541371158392,0.5468085106382978,0.009625384160756496,0.04028517040977147,16,11,20,0.014432367149758452,0.031099033816425117
primary,full8,mean_feature,k1,1,2,1121,56,759,0.056489360068045426,0.0001,0.0064,0.0128,0.0025599488010239796,0.5243920668963715,0.580881426964417,0.0448160884718226,0.0681782233019234,48,7,1,0.053868852361089584,0.0589856771748841
primary,full8,mean_feature,k1,2,3,510,56,407,0.016827926262450076,0.0055,0.0715,0.143,0.33199336013279734,0.5798375081708416,0.5966654344332917,0.00631111606918087,0.027828480374675356,32,17,7,0.014305605729848158,0.01973129115553358
primary,full8,mean_feature,k1,2,4,230,56,195,0.02527825018896447,0.0077,0.0847,0.1748,0.17731645367092658,0.5856901927437642,0.6109684429327287,0.010330794854317388,0.04088514341335078,31,10,15,0.021158730158730158,0.02927320827320827
primary,full8,mean_feature,k1,2,5,108,47,93,0.027387706855791963,0.1169,0.6155999999999999,1.0,1.0,0.5221394799054374,0.5495271867612292,0.012729058313632783,0.04278933215130023,16,11,20,0.017475845410628014,0.03450483091787439
primary,full8,probability_mlp,all,1,2,1121,56,759,0.0686459654860983,0.0001,0.0064,0.0128,0.0025599488010239796,0.5813226915502755,0.649968657036374,0.059210903094392156,0.07851486788512041,53,3,0,0.06651412056952855,0.07013330839924269
primary,full8,probability_mlp,all,2,3,510,56,407,0.0279049023617476,0.0001,0.0064,0.0128,0.0025599488010239796,0.6334940913363533,0.6613989936981008,0.019715331288167166,0.03637347465862621,40,10,6,0.02613953695014301,0.028816304626910687
