branch,mode,model,policy,seed,before,after,delta
exclude_affected,full8,deepsets,all,20260819,1,2,0.07567381846278738
exclude_affected,full8,deepsets,all,20260819,2,3,0.030814445144802294
exclude_affected,full8,deepsets,all,20260819,2,4,0.026223072562358278
exclude_affected,full8,deepsets,all,20260819,2,5,0.026950354609929075
exclude_affected,full8,deepsets,all,20260820,1,2,0.07451819072830843
exclude_affected,full8,deepsets,all,20260820,2,3,0.020344952666381238
exclude_affected,full8,deepsets,all,20260820,2,4,0.033819444444444444
exclude_affected,full8,deepsets,all,20260820,2,5,0.05053191489361702
exclude_affected,full8,deepsets,all,20260821,1,2,0.07202913827067421
exclude_affected,full8,deepsets,all,20260821,2,3,0.023481482968090113
exclude_affected,full8,deepsets,all,20260821,2,4,0.05080357142857143
exclude_affected,full8,deepsets,all,20260821,2,5,0.057659574468085104
exclude_affected,full8,deepsets,k1,20260819,1,2,0.07182216802166914
exclude_affected,full8,deepsets,k1,20260819,2,3,0.02437200530950531
exclude_affected,full8,deepsets,k1,20260819,2,4,0.046579506802721084
exclude_affected,full8,deepsets,k1,20260819,2,5,0.06191489361702128
exclude_affected,full8,deepsets,k1,20260820,1,2,0.0700445411079527
exclude_affected,full8,deepsets,k1,20260820,2,3,0.02483402675366962
exclude_affected,full8,deepsets,k1,20260820,2,4,0.025589569160997732
exclude_affected,full8,deepsets,k1,20260820,2,5,0.0003546099290780141
exclude_affected,full8,deepsets,k1,20260821,1,2,0.06930345957570769
exclude_affected,full8,deepsets,k1,20260821,2,3,0.021548387128744278
exclude_affected,full8,deepsets,k1,20260821,2,4,0.03710671768707483
exclude_affected,full8,deepsets,k1,20260821,2,5,0.050709219858156025
exclude_affected,full8,mean_feature,all,20260819,1,2,0.05261409638639558
exclude_affected,full8,mean_feature,all,20260819,2,3,0.01589397622879766
exclude_affected,full8,mean_feature,all,20260819,2,4,0.02701530612244898
exclude_affected,full8,mean_feature,all,20260819,2,5,0.01914893617021276
exclude_affected,full8,mean_feature,all,20260820,1,2,0.05539743585808116
exclude_affected,full8,mean_feature,all,20260820,2,3,0.018407340840376558
exclude_affected,full8,mean_feature,all,20260820,2,4,0.028026502267573694
exclude_affected,full8,mean_feature,all,20260820,2,5,0.0326950354609929
exclude_affected,full8,mean_feature,all,20260821,1,2,0.05111656750996669
exclude_affected,full8,mean_feature,all,20260821,2,3,0.014670583219690364
exclude_affected,full8,mean_feature,all,20260821,2,4,0.03309783635676493
exclude_affected,full8,mean_feature,all,20260821,2,5,0.02031914893617021
exclude_affected,full8,mean_feature,k1,20260819,1,2,0.053981148412244336
exclude_affected,full8,mean_feature,k1,20260819,2,3,0.01497323608930752
exclude_affected,full8,mean_feature,k1,20260819,2,4,0.02403887944066516
exclude_affected,full8,mean_feature,k1,20260819,2,5,0.03542553191489361
exclude_affected,full8,mean_feature,k1,20260820,1,2,0.05983202904985604
exclude_affected,full8,mean_feature,k1,20260820,2,3,0.01454218318057604
exclude_affected,full8,mean_feature,k1,20260820,2,4,0.02498204837490552
exclude_affected,full8,mean_feature,k1,20260820,2,5,0.023687943262411342
exclude_affected,full8,mean_feature,k1,20260821,1,2,0.05668379337394226
exclude_affected,full8,mean_feature,k1,20260821,2,3,0.021628554150875584
exclude_affected,full8,mean_feature,k1,20260821,2,4,0.025859315948601667
exclude_affected,full8,mean_feature,k1,20260821,2,5,0.02304964539007092
exclude_affected,full8,probability_mlp,all,20260819,1,2,0.06637570390804098
exclude_affected,full8,probability_mlp,all,20260819,2,3,0.025397723969152543
exclude_affected,full8,probability_mlp,all,20260819,2,4,0.040924744897959185
exclude_affected,full8,probability_mlp,all,20260819,2,5,0.0498581560283688
exclude_affected,full8,probability_mlp,all,20260820,1,2,0.05738235866442292
exclude_affected,full8,probability_mlp,all,20260820,2,3,0.031521081431795724
exclude_affected,full8,probability_mlp,all,20260820,2,4,0.04192743764172335
exclude_affected,full8,probability_mlp,all,20260820,2,5,0.05375886524822694
exclude_affected,full8,probability_mlp,all,20260821,1,2,0.0834474105892119
exclude_affected,full8,probability_mlp,all,20260821,2,3,0.027338959816638392
exclude_affected,full8,probability_mlp,all,20260821,2,4,0.03686082766439909
exclude_affected,full8,probability_mlp,all,20260821,2,5,0.05826241134751773
exclude_affected,full8,probability_mlp,k1,20260819,1,2,0.06351321152797691
exclude_affected,full8,probability_mlp,k1,20260819,2,3,0.025892935602757034
exclude_affected,full8,probability_mlp,k1,20260819,2,4,0.046290391156462586
exclude_affected,full8,probability_mlp,k1,20260819,2,5,0.06152482269503545
exclude_affected,full8,probability_mlp,k1,20260820,1,2,0.07206694994858238
exclude_affected,full8,probability_mlp,k1,20260820,2,3,0.02985505896220182
exclude_affected,full8,probability_mlp,k1,20260820,2,4,0.026519274376417237
exclude_affected,full8,probability_mlp,k1,20260820,2,5,0.06351063829787233
exclude_affected,full8,probability_mlp,k1,20260821,1,2,0.0629383822175422
exclude_affected,full8,probability_mlp,k1,20260821,2,3,0.023171524242952816
exclude_affected,full8,probability_mlp,k1,20260821,2,4,0.031031037414965983
exclude_affected,full8,probability_mlp,k1,20260821,2,5,0.03613475177304964
exclude_affected,full8,set_transformer,all,20260819,1,2,0.07491709375186531
exclude_affected,full8,set_transformer,all,20260819,2,3,0.03595299293960009
exclude_affected,full8,set_transformer,all,20260819,2,4,0.0660671768707483
exclude_affected,full8,set_transformer,all,20260819,2,5,0.0651418439716312
exclude_affected,full8,set_transformer,all,20260820,1,2,0.08361255969012131
exclude_affected,full8,set_transformer,all,20260820,2,3,0.03980208448958449
exclude_affected,full8,set_transformer,all,20260820,2,4,0.058205782312925176
exclude_affected,full8,set_transformer,all,20260820,2,5,0.07354609929078013
exclude_affected,full8,set_transformer,all,20260821,1,2,0.08664999196054257
exclude_affected,full8,set_transformer,all,20260821,2,3,0.0387050383478955
exclude_affected,full8,set_transformer,all,20260821,2,4,0.047996031746031745
exclude_affected,full8,set_transformer,all,20260821,2,5,0.09677304964539007
exclude_affected,full8,set_transformer,k1,20260819,1,2,0.06174368267976389
exclude_affected,full8,set_transformer,k1,20260819,2,3,0.03113636281046996
exclude_affected,full8,set_transformer,k1,20260819,2,4,0.028718820861678002
exclude_affected,full8,set_transformer,k1,20260819,2,5,0.024397163120567368
exclude_affected,full8,set_transformer,k1,20260820,1,2,0.07115925469455855
exclude_affected,full8,set_transformer,k1,20260820,2,3,0.0304633701285487
exclude_affected,full8,set_transformer,k1,20260820,2,4,0.042256944444444444
exclude_affected,full8,set_transformer,k1,20260820,2,5,0.011985815602836878
exclude_affected,full8,set_transformer,k1,20260821,1,2,0.06024343382515688
exclude_affected,full8,set_transformer,k1,20260821,2,3,0.013401521593485883
exclude_affected,full8,set_transformer,k1,20260821,2,4,0.04516652494331065
exclude_affected,full8,set_transformer,k1,20260821,2,5,0.0425177304964539
exclude_affected,strict10,deepsets,all,20260819,1,2,0.07535636018000536
exclude_affected,strict10,deepsets,all,20260819,2,3,0.03294868649868651
exclude_affected,strict10,deepsets,all,20260819,2,4,0.0327031746031746
exclude_affected,strict10,deepsets,all,20260819,2,5,0.04206349206349206
exclude_affected,strict10,deepsets,all,20260820,1,2,0.06957889213422395
exclude_affected,strict10,deepsets,all,20260820,2,3,0.0219926961926962
exclude_affected,strict10,deepsets,all,20260820,2,4,0.03121111111111111
exclude_affected,strict10,deepsets,all,20260820,2,5,0.05654761904761905
exclude_affected,strict10,deepsets,all,20260821,1,2,0.06966825775877802
exclude_affected,strict10,deepsets,all,20260821,2,3,0.03253735616235617
exclude_affected,strict10,deepsets,all,20260821,2,4,0.05890000000000001
exclude_affected,strict10,deepsets,all,20260821,2,5,0.07166666666666666
exclude_affected,strict10,deepsets,k1,20260819,1,2,0.06922786522130647
exclude_affected,strict10,deepsets,k1,20260819,2,3,0.030590296740296744
exclude_affected,strict10,deepsets,k1,20260819,2,4,0.054835714285714286
exclude_affected,strict10,deepsets,k1,20260819,2,5,0.07642857142857142
exclude_affected,strict10,deepsets,k1,20260820,1,2,0.0652611655021865
exclude_affected,strict10,deepsets,k1,20260820,2,3,0.029202998852998853
exclude_affected,strict10,deepsets,k1,20260820,2,4,0.02532698412698413
exclude_affected,strict10,deepsets,k1,20260820,2,5,0.0003968253968253967
exclude_affected,strict10,deepsets,k1,20260821,1,2,0.06633098583590373
exclude_affected,strict10,deepsets,k1,20260821,2,3,0.0285389554889555
exclude_affected,strict10,deepsets,k1,20260821,2,4,0.03955952380952381
exclude_affected,strict10,deepsets,k1,20260821,2,5,0.059126984126984125
exclude_affected,strict10,mean_feature,all,20260819,1,2,0.05630388222885732
exclude_affected,strict10,mean_feature,all,20260819,2,3,0.01899172956672957
exclude_affected,strict10,mean_feature,all,20260819,2,4,0.030257142857142857
exclude_affected,strict10,mean_feature,all,20260819,2,5,0.021428571428571422
exclude_affected,strict10,mean_feature,all,20260820,1,2,0.05432021233613508
exclude_affected,strict10,mean_feature,all,20260820,2,3,0.022362253487253497
exclude_affected,strict10,mean_feature,all,20260820,2,4,0.032223015873015876
exclude_affected,strict10,mean_feature,all,20260820,2,5,0.03658730158730158
exclude_affected,strict10,mean_feature,all,20260821,1,2,0.050808468069075144
exclude_affected,strict10,mean_feature,all,20260821,2,3,0.018177084952084956
exclude_affected,strict10,mean_feature,all,20260821,2,4,0.03790291005291005
exclude_affected,strict10,mean_feature,all,20260821,2,5,0.022738095238095234
exclude_affected,strict10,mean_feature,k1,20260819,1,2,0.058020165682993126
exclude_affected,strict10,mean_feature,k1,20260819,2,3,0.017960500610500613
exclude_affected,strict10,mean_feature,k1,20260819,2,4,0.02692354497354497
exclude_affected,strict10,mean_feature,k1,20260819,2,5,0.039642857142857146
exclude_affected,strict10,mean_feature,k1,20260820,1,2,0.059398067822034044
exclude_affected,strict10,mean_feature,k1,20260820,2,3,0.01636661024161025
exclude_affected,strict10,mean_feature,k1,20260820,2,4,0.027979894179894185
exclude_affected,strict10,mean_feature,k1,20260820,2,5,0.026507936507936508
exclude_affected,strict10,mean_feature,k1,20260821,1,2,0.057483154976121734
exclude_affected,strict10,mean_feature,k1,20260821,2,3,0.0259700123950124
exclude_affected,strict10,mean_feature,k1,20260821,2,4,0.030462433862433868
exclude_affected,strict10,mean_feature,k1,20260821,2,5,0.026984126984126982
exclude_affected,strict10,probability_mlp,all,20260819,1,2,0.06582226985848738
exclude_affected,strict10,probability_mlp,all,20260819,2,3,0.02500894290894291
exclude_affected,strict10,probability_mlp,all,20260819,2,4,0.04250238095238096
exclude_affected,strict10,probability_mlp,all,20260819,2,5,0.07126984126984127
exclude_affected,strict10,probability_mlp,all,20260820,1,2,0.056206625542537504
exclude_affected,strict10,probability_mlp,all,20260820,2,3,0.032517896917896916
exclude_affected,strict10,probability_mlp,all,20260820,2,4,0.043625396825396824
exclude_affected,strict10,probability_mlp,all,20260820,2,5,0.06492063492063492
exclude_affected,strict10,probability_mlp,all,20260821,1,2,0.0834163187151362
exclude_affected,strict10,probability_mlp,all,20260821,2,3,0.025452968327968332
exclude_affected,strict10,probability_mlp,all,20260821,2,4,0.033950793650793655
exclude_affected,strict10,probability_mlp,all,20260821,2,5,0.05091269841269842
exclude_affected,strict10,probability_mlp,k1,20260819,1,2,0.06811611004264725
exclude_affected,strict10,probability_mlp,k1,20260819,2,3,0.028571516446516454
exclude_affected,strict10,probability_mlp,k1,20260819,2,4,0.0458452380952381
exclude_affected,strict10,probability_mlp,k1,20260819,2,5,0.0736111111111111
exclude_affected,strict10,probability_mlp,k1,20260820,1,2,0.0704050512824796
exclude_affected,strict10,probability_mlp,k1,20260820,2,3,0.03077893587893588
exclude_affected,strict10,probability_mlp,k1,20260820,2,4,0.02636825396825397
exclude_affected,strict10,probability_mlp,k1,20260820,2,5,0.07107142857142856
exclude_affected,strict10,probability_mlp,k1,20260821,1,2,0.0657441867368459
exclude_affected,strict10,probability_mlp,k1,20260821,2,3,0.022388615088615095
exclude_affected,strict10,probability_mlp,k1,20260821,2,4,0.02742142857142858
exclude_affected,strict10,probability_mlp,k1,20260821,2,5,0.02853174603174603
exclude_affected,strict10,set_transformer,all,20260819,1,2,0.07089283523777938
exclude_affected,strict10,set_transformer,all,20260819,2,3,0.039128463203463214
exclude_affected,strict10,set_transformer,all,20260819,2,4,0.07032857142857143
exclude_affected,strict10,set_transformer,all,20260819,2,5,0.07527777777777776
exclude_affected,strict10,set_transformer,all,20260820,1,2,0.08021677392364295
exclude_affected,strict10,set_transformer,all,20260820,2,3,0.040221191771191774
exclude_affected,strict10,set_transformer,all,20260820,2,4,0.07385714285714284
exclude_affected,strict10,set_transformer,all,20260820,2,5,0.09063492063492064
exclude_affected,strict10,set_transformer,all,20260821,1,2,0.08587223342005008
exclude_affected,strict10,set_transformer,all,20260821,2,3,0.036575833425833426
exclude_affected,strict10,set_transformer,all,20260821,2,4,0.05925555555555555
exclude_affected,strict10,set_transformer,all,20260821,2,5,0.11186507936507935
exclude_affected,strict10,set_transformer,k1,20260819,1,2,0.06373541618382714
exclude_affected,strict10,set_transformer,k1,20260819,2,3,0.02749177396677397
exclude_affected,strict10,set_transformer,k1,20260819,2,4,0.03216507936507936
exclude_affected,strict10,set_transformer,k1,20260819,2,5,0.02730158730158731
exclude_affected,strict10,set_transformer,k1,20260820,1,2,0.07238422384376415
exclude_affected,strict10,set_transformer,k1,20260820,2,3,0.03228564121064121
exclude_affected,strict10,set_transformer,k1,20260820,2,4,0.03266111111111111
exclude_affected,strict10,set_transformer,k1,20260820,2,5,0.01103174603174603
exclude_affected,strict10,set_transformer,k1,20260821,1,2,0.06364537315690297
exclude_affected,strict10,set_transformer,k1,20260821,2,3,0.019287481962481968
exclude_affected,strict10,set_transformer,k1,20260821,2,4,0.05008650793650794
exclude_affected,strict10,set_transformer,k1,20260821,2,5,0.051150793650793655
primary,full8,deepsets,all,20260819,1,2,0.07638570502207095
primary,full8,deepsets,all,20260819,2,3,0.030753890619962053
primary,full8,deepsets,all,20260819,2,4,0.027156320861678
primary,full8,deepsets,all,20260819,2,5,0.026950354609929075
primary,full8,deepsets,all,20260820,1,2,0.07454275969707891
primary,full8,deepsets,all,20260820,2,3,0.022465434697577558
primary,full8,deepsets,all,20260820,2,4,0.03371102607709751
primary,full8,deepsets,all,20260820,2,5,0.05053191489361702
primary,full8,deepsets,all,20260821,1,2,0.07164477786608661
primary,full8,deepsets,all,20260821,2,3,0.024017347566454714
primary,full8,deepsets,all,20260821,2,4,0.04961309523809524
primary,full8,deepsets,all,20260821,2,5,0.057659574468085104
primary,full8,deepsets,k1,20260819,1,2,0.07106158532315736
primary,full8,deepsets,k1,20260819,2,3,0.02455098472955616
primary,full8,deepsets,k1,20260819,2,4,0.04595450680272108
primary,full8,deepsets,k1,20260819,2,5,0.06191489361702128
primary,full8,deepsets,k1,20260820,1,2,0.06970886387020372
primary,full8,deepsets,k1,20260820,2,3,0.02446382816918532
primary,full8,deepsets,k1,20260820,2,4,0.023351048752834468
primary,full8,deepsets,k1,20260820,2,5,0.0003546099290780141
primary,full8,deepsets,k1,20260821,1,2,0.06843354086070072
primary,full8,deepsets,k1,20260821,2,3,0.023259889911675633
primary,full8,deepsets,k1,20260821,2,4,0.0359077380952381
primary,full8,deepsets,k1,20260821,2,5,0.050709219858156025
primary,full8,mean_feature,all,20260819,1,2,0.05220370319680576
primary,full8,mean_feature,all,20260819,2,3,0.01569556353038496
primary,full8,mean_feature,all,20260819,2,4,0.027383078231292515
primary,full8,mean_feature,all,20260819,2,5,0.01914893617021276
primary,full8,mean_feature,all,20260820,1,2,0.055172328930211886
primary,full8,mean_feature,all,20260820,2,3,0.018283332903868625
primary,full8,mean_feature,all,20260820,2,4,0.02839427437641723
primary,full8,mean_feature,all,20260820,2,5,0.0326950354609929
primary,full8,mean_feature,all,20260821,1,2,0.0508306155052136
primary,full8,mean_feature,all,20260821,2,3,0.01444511424422139
primary,full8,mean_feature,all,20260821,2,4,0.03355489417989418
primary,full8,mean_feature,all,20260821,2,5,0.02031914893617021
primary,full8,mean_feature,k1,20260819,1,2,0.05358716529545556
primary,full8,mean_feature,k1,20260819,2,3,0.014794364035435466
primary,full8,mean_feature,k1,20260819,2,4,0.024228080120937266
primary,full8,mean_feature,k1,20260819,2,5,0.03542553191489361
primary,full8,mean_feature,k1,20260820,1,2,0.05956757597995183
primary,full8,mean_feature,k1,20260820,2,3,0.01437308144897431
primary,full8,mean_feature,k1,20260820,2,4,0.025379582388510957
primary,full8,mean_feature,k1,20260820,2,5,0.023687943262411342
primary,full8,mean_feature,k1,20260821,1,2,0.056313338928728904
primary,full8,mean_feature,k1,20260821,2,3,0.021316333302940447
primary,full8,mean_feature,k1,20260821,2,4,0.0262270880574452
primary,full8,mean_feature,k1,20260821,2,5,0.02304964539007092
primary,full8,probability_mlp,all,20260819,1,2,0.06631937499168837
primary,full8,probability_mlp,all,20260819,2,3,0.025984265403908264
primary,full8,probability_mlp,all,20260819,2,4,0.04040816326530613
primary,full8,probability_mlp,all,20260819,2,5,0.0498581560283688
primary,full8,probability_mlp,all,20260820,1,2,0.0568334103301485
primary,full8,probability_mlp,all,20260820,2,3,0.030492513438942017
primary,full8,probability_mlp,all,20260820,2,4,0.040369189342403626
primary,full8,probability_mlp,all,20260820,2,5,0.05375886524822694
primary,full8,probability_mlp,all,20260821,1,2,0.08278511113645805
