backbone,model,budget,seed,run_id,evaluation_budget,macro_expected_accuracy,micro_expected_accuracy
dinov2,mean_feature,1.0,20260819,dinov2-mean_feature-k1-seed20260819,1,0.5600119047619048,0.5591999999999999
dinov2,mean_feature,1.0,20260819,dinov2-mean_feature-k1-seed20260819,2,0.6099047619047618,0.6092444444444445
dinov2,mean_feature,1.0,20260819,dinov2-mean_feature-k1-seed20260819,3,0.5996666666666666,0.6037463976945245
dinov2,mean_feature,1.0,20260819,dinov2-mean_feature-k1-seed20260819,4,0.5807116104868913,0.5818181818181818
dinov2,mean_feature,1.0,20260819,dinov2-mean_feature-k1-seed20260819,5,0.6169590643274854,0.589041095890411
dinov2,mean_feature,1.0,20260820,dinov2-mean_feature-k1-seed20260820,1,0.5585208333333334,0.5577777777777777
dinov2,mean_feature,1.0,20260820,dinov2-mean_feature-k1-seed20260820,2,0.605297619047619,0.6046222222222222
dinov2,mean_feature,1.0,20260820,dinov2-mean_feature-k1-seed20260820,3,0.5886833333333333,0.5951008645533141
dinov2,mean_feature,1.0,20260820,dinov2-mean_feature-k1-seed20260820,4,0.5705992509363297,0.5740259740259741
dinov2,mean_feature,1.0,20260820,dinov2-mean_feature-k1-seed20260820,5,0.6081871345029239,0.5753424657534246
dinov2,mean_feature,1.0,20260821,dinov2-mean_feature-k1-seed20260821,1,0.5579226190476191,0.5573555555555555
dinov2,mean_feature,1.0,20260821,dinov2-mean_feature-k1-seed20260821,2,0.607077380952381,0.6063999999999999
dinov2,mean_feature,1.0,20260821,dinov2-mean_feature-k1-seed20260821,3,0.5892166666666667,0.5978386167146974
dinov2,mean_feature,1.0,20260821,dinov2-mean_feature-k1-seed20260821,4,0.5646067415730337,0.5675324675324676
dinov2,mean_feature,1.0,20260821,dinov2-mean_feature-k1-seed20260821,5,0.6169590643274854,0.589041095890411
dinov2,mean_feature,,20260819,dinov2-mean_feature-all-seed20260819,1,0.5565357142857142,0.5558666666666666
dinov2,mean_feature,,20260819,dinov2-mean_feature-all-seed20260819,2,0.6079523809523808,0.6077333333333333
dinov2,mean_feature,,20260819,dinov2-mean_feature-all-seed20260819,3,0.6030000000000001,0.6085014409221903
dinov2,mean_feature,,20260819,dinov2-mean_feature-all-seed20260819,4,0.5704119850187266,0.5753246753246752
dinov2,mean_feature,,20260819,dinov2-mean_feature-all-seed20260819,5,0.6169590643274854,0.589041095890411
dinov2,mean_feature,,20260820,dinov2-mean_feature-all-seed20260820,1,0.5616011904761905,0.5611111111111111
dinov2,mean_feature,,20260820,dinov2-mean_feature-all-seed20260820,2,0.6130654761904761,0.6128
dinov2,mean_feature,,20260820,dinov2-mean_feature-all-seed20260820,3,0.589175,0.6004322766570604
dinov2,mean_feature,,20260820,dinov2-mean_feature-all-seed20260820,4,0.5621722846441948,0.5662337662337662
dinov2,mean_feature,,20260820,dinov2-mean_feature-all-seed20260820,5,0.6081871345029239,0.5753424657534246
